Sno,Date,Time,State/UnionTerritory,ConfirmedIndianNational,ConfirmedForeignNational,Cured,Deaths,Confirmed
1,30/01/20,6:00 PM,Kerala,1,0,0,0,1
2,31/01/20,6:00 PM,Kerala,1,0,0,0,1
3,1/2/2020,6:00 PM,Kerala,2,0,0,0,2
4,2/2/2020,6:00 PM,Kerala,3,0,0,0,3
5,3/2/2020,6:00 PM,Kerala,3,0,0,0,3
6,4/2/2020,6:00 PM,Kerala,3,0,0,0,3
7,5/2/2020,6:00 PM,Kerala,3,0,0,0,3
8,6/2/2020,6:00 PM,Kerala,3,0,0,0,3
9,7/2/2020,6:00 PM,Kerala,3,0,0,0,3
10,8/2/2020,6:00 PM,Kerala,3,0,0,0,3
11,9/2/2020,6:00 PM,Kerala,3,0,0,0,3
12,10/2/2020,6:00 PM,Kerala,3,0,0,0,3
13,11/2/2020,6:00 PM,Kerala,3,0,0,0,3
14,12/2/2020,6:00 PM,Kerala,3,0,0,0,3
15,13/02/20,6:00 PM,Kerala,3,0,0,0,3
16,14/02/20,6:00 PM,Kerala,3,0,0,0,3
17,15/02/20,6:00 PM,Kerala,3,0,0,0,3
18,16/02/20,6:00 PM,Kerala,3,0,0,0,3
19,17/02/20,6:00 PM,Kerala,3,0,0,0,3
20,18/02/20,6:00 PM,Kerala,3,0,0,0,3
21,19/02/20,6:00 PM,Kerala,3,0,0,0,3
22,20/02/20,6:00 PM,Kerala,3,0,0,0,3
23,21/02/20,6:00 PM,Kerala,3,0,0,0,3
24,22/02/20,6:00 PM,Kerala,3,0,0,0,3
25,23/02/20,6:00 PM,Kerala,3,0,0,0,3
26,24/02/20,6:00 PM,Kerala,3,0,0,0,3
27,25/02/20,6:00 PM,Kerala,3,0,0,0,3
28,26/02/20,6:00 PM,Kerala,3,0,0,0,3
29,27/02/20,6:00 PM,Kerala,3,0,0,0,3
30,28/02/20,6:00 PM,Kerala,3,0,0,0,3
31,29/02/20,6:00 PM,Kerala,3,0,0,0,3
32,1/3/2020,6:00 PM,Kerala,3,0,0,0,3
33,2/3/2020,6:00 PM,Telengana,1,0,0,0,1
34,2/3/2020,6:00 PM,Kerala,3,0,0,0,3
35,2/3/2020,6:00 PM,Delhi,1,0,0,0,1
36,3/3/2020,6:00 PM,Telengana,1,0,0,0,1
37,3/3/2020,6:00 PM,Rajasthan,0,1,0,0,1
38,3/3/2020,6:00 PM,Kerala,3,0,3,0,3
39,3/3/2020,6:00 PM,Delhi,1,0,0,0,1
40,4/3/2020,6:00 PM,Uttar Pradesh,6,0,0,0,6
41,4/3/2020,6:00 PM,Kerala,3,0,3,0,3
42,4/3/2020,6:00 PM,Haryana,0,2,0,0,2
43,4/3/2020,6:00 PM,Delhi,1,0,0,0,1
44,4/3/2020,6:00 PM,Telengana,1,0,0,0,1
45,4/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
46,5/3/2020,6:00 PM,Delhi,2,0,0,0,2
47,5/3/2020,6:00 PM,Haryana,0,2,0,0,2
48,5/3/2020,6:00 PM,Kerala,3,0,3,0,3
49,5/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
50,5/3/2020,6:00 PM,Telengana,1,0,0,0,1
51,5/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
52,6/3/2020,6:00 PM,Delhi,3,0,0,0,3
53,6/3/2020,6:00 PM,Haryana,0,2,0,0,2
54,6/3/2020,6:00 PM,Kerala,3,0,3,0,3
55,6/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
56,6/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
57,6/3/2020,6:00 PM,Telengana,1,0,0,0,1
58,7/3/2020,6:00 PM,Kerala,3,0,3,0,3
59,7/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
60,7/3/2020,6:00 PM,Ladakh,2,0,0,0,2
61,7/3/2020,6:00 PM,Telengana,1,0,0,0,1
62,7/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
63,7/3/2020,6:00 PM,Delhi,3,0,0,0,3
64,7/3/2020,6:00 PM,Haryana,0,2,0,0,2
65,7/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
66,8/3/2020,6:00 PM,Ladakh,2,0,0,0,2
67,8/3/2020,6:00 PM,Telengana,1,0,0,0,1
68,8/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
69,8/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
70,8/3/2020,6:00 PM,Kerala,8,0,3,0,8
71,8/3/2020,6:00 PM,Haryana,0,2,0,0,2
72,8/3/2020,6:00 PM,Delhi,3,0,0,0,3
73,8/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
74,9/3/2020,6:00 PM,Ladakh,2,0,0,0,2
75,9/3/2020,6:00 PM,Karnataka,1,0,0,0,1
76,9/3/2020,6:00 PM,Kerala,9,0,3,0,9
77,9/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
78,9/3/2020,6:00 PM,Punjab,1,0,0,0,1
79,9/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
80,9/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
81,9/3/2020,6:00 PM,Telengana,1,0,0,0,1
82,9/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
83,9/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
84,9/3/2020,6:00 PM,Haryana,0,2,0,0,2
85,9/3/2020,6:00 PM,Delhi,4,0,0,0,4
86,10/3/2020,6:00 PM,Uttar Pradesh,7,0,0,0,7
87,10/3/2020,6:00 PM,Ladakh,2,0,0,0,2
88,10/3/2020,6:00 PM,Delhi,4,0,0,0,4
89,10/3/2020,6:00 PM,Haryana,0,2,0,0,2
90,10/3/2020,6:00 PM,Karnataka,4,0,0,0,4
91,10/3/2020,6:00 PM,Kerala,15,0,3,0,15
92,10/3/2020,6:00 PM,Maharashtra,5,0,0,0,5
93,10/3/2020,6:00 PM,Punjab,1,0,0,0,1
94,10/3/2020,6:00 PM,Rajasthan,1,14,0,0,15
95,10/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
96,10/3/2020,6:00 PM,Telengana,1,0,0,0,1
97,10/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
98,11/3/2020,6:00 PM,Maharashtra,2,0,0,0,2
99,11/3/2020,6:00 PM,Delhi,5,0,0,0,5
100,11/3/2020,6:00 PM,Haryana,0,14,0,0,14
101,11/3/2020,6:00 PM,Kerala,17,0,3,0,17
102,11/3/2020,6:00 PM,Rajasthan,1,2,0,0,3
103,11/3/2020,6:00 PM,Telengana,1,0,0,0,1
104,11/3/2020,6:00 PM,Uttar Pradesh,9,0,0,0,9
105,11/3/2020,6:00 PM,Ladakh,2,0,0,0,2
106,11/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
107,11/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
108,11/3/2020,6:00 PM,Punjab,1,0,0,0,1
109,11/3/2020,6:00 PM,Karnataka,4,0,0,0,4
110,12/3/2020,6:00 PM,Delhi,6,0,0,0,6
111,12/3/2020,6:00 PM,Haryana,0,14,0,0,14
112,12/3/2020,6:00 PM,Kerala,17,0,3,0,17
113,12/3/2020,6:00 PM,Rajasthan,1,2,0,0,3
114,12/3/2020,6:00 PM,Telengana,1,0,0,0,1
115,12/3/2020,6:00 PM,Uttar Pradesh,10,1,0,0,11
116,12/3/2020,6:00 PM,Ladakh,3,0,0,0,3
117,12/3/2020,6:00 PM,Tamil Nadu,1,0,0,0,1
118,12/3/2020,6:00 PM,Jammu and Kashmir,1,0,0,0,1
119,12/3/2020,6:00 PM,Punjab,1,0,0,0,1
120,12/3/2020,6:00 PM,Karnataka,4,0,0,0,4
121,12/3/2020,6:00 PM,Maharashtra,11,0,0,0,11
122,12/3/2020,6:00 PM,Andhra Pradesh,1,0,0,0,1
123,13/03/20,6:00 PM,Delhi,6,0,0,0,6
124,13/03/20,6:00 PM,Haryana,0,14,0,0,14
125,13/03/20,6:00 PM,Kerala,19,0,3,0,19
126,13/03/20,6:00 PM,Rajasthan,1,2,0,0,3
127,13/03/20,6:00 PM,Telengana,1,0,0,0,1
128,13/03/20,6:00 PM,Uttar Pradesh,10,1,0,0,11
129,13/03/20,6:00 PM,Ladakh,3,0,0,0,3
130,13/03/20,6:00 PM,Tamil Nadu,1,0,0,0,1
131,13/03/20,6:00 PM,Jammu and Kashmir,1,0,0,0,1
132,13/03/20,6:00 PM,Punjab,1,0,0,0,1
133,13/03/20,6:00 PM,Karnataka,6,0,0,1,6
134,13/03/20,6:00 PM,Maharashtra,14,0,0,0,14
135,13/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
136,14/03/20,6:00 PM,Delhi,7,0,1,1,7
137,14/03/20,6:00 PM,Haryana,0,14,0,0,14
138,14/03/20,6:00 PM,Kerala,19,0,3,0,19
139,14/03/20,6:00 PM,Rajasthan,1,2,1,0,3
140,14/03/20,6:00 PM,Telengana,1,0,0,0,1
141,14/03/20,6:00 PM,Uttar Pradesh,11,1,5,0,12
142,14/03/20,6:00 PM,Ladakh,3,0,0,0,3
143,14/03/20,6:00 PM,Tamil Nadu,1,0,0,0,1
144,14/03/20,6:00 PM,Jammu and Kashmir,2,0,0,0,2
145,14/03/20,6:00 PM,Punjab,1,0,0,0,1
146,14/03/20,6:00 PM,Karnataka,6,0,0,1,6
147,14/03/20,6:00 PM,Maharashtra,14,0,0,0,14
148,14/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
149,15/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
150,15/03/20,6:00 PM,Delhi,7,0,2,1,7
151,15/03/20,6:00 PM,Haryana,0,14,0,0,14
152,15/03/20,6:00 PM,Karnataka,6,0,0,1,6
153,15/03/20,6:00 PM,Kerala,22,0,3,0,22
154,15/03/20,6:00 PM,Maharashtra,32,0,0,0,32
155,15/03/20,6:00 PM,Punjab,1,0,0,0,1
156,15/03/20,6:00 PM,Rajasthan,2,2,3,0,4
157,15/03/20,6:00 PM,Tamil Nadu,1,0,0,0,1
158,15/03/20,6:00 PM,Telengana,3,0,1,0,3
159,15/03/20,6:00 PM,Jammu and Kashmir,2,0,0,0,2
160,15/03/20,6:00 PM,Ladakh,3,0,0,0,3
161,15/03/20,6:00 PM,Uttar Pradesh,12,1,4,0,13
162,15/03/20,6:00 PM,Uttarakhand,1,0,0,0,1
163,16/03/20,6:00 PM,Andhra Pradesh,1,0,0,0,1
